,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,name,unit_name
178,347432,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
179,347525,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
180,347540,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
181,347640,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
182,347699,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
183,347873,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
184,348040,1257,0.1,,78.0,,,,,,,"Fatty acids, total trans",G
185,348659,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
186,348747,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
187,348804,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
188,348901,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
189,349101,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
190,349128,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
191,349153,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
192,349579,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
193,349956,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
194,350216,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
195,350219,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
196,350305,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
197,350421,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
198,350498,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
199,350782,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
200,351123,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
201,351153,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
202,351209,1257,0.04,,78.0,,,,,,,"Fatty acids, total trans",G
203,351394,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
204,351439,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
205,351703,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
206,351711,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
207,351817,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
208,351827,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
209,351929,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
210,352067,1257,0.0,,71.0,,,,,,,"Fatty acids, total trans",G
